HRV.time;HRV.x;HRV.y;HRV.z
1573142428161;74.1218;19.4034;6.47475
1573142428411;73.3493;20.2826;6.36807
1573142428661;72.4947;21.2060;6.29939
1573142428911;71.5464;22.1600;6.29365
1573142429161;70.7254;22.9579;6.31663
1573142429411;69.9102;23.7536;6.33627
1573142429661;69.1011;24.5408;6.35810
1573142429911;68.1037;25.4639;6.43237
1573142430161;67.0258;26.3795;6.59476
1573142430411;65.8795;27.2885;6.83201
1573142430661;64.6804;28.1948;7.12480
1573142430911;63.5970;29.0082;7.39482
1573142431161;62.5314;29.8272;7.64141
1573142431411;61.4697;30.6546;7.87577
1573142431661;60.3516;31.5147;8.13365
1573142431911;59.1897;32.3774;8.43284
1573142432161;57.9738;33.2475;8.77870
1573142432411;56.7091;34.1332;9.15762
1573142432661;55.4039;35.0535;9.54253
1573142432911;54.0801;36.0239;9.89600
1573142433161;52.7480;37.0651;10.1868
1573142433411;51.4165;38.1870;10.3965
1573142433661;50.0784;39.3948;10.5269
1573142433911;48.7234;40.6796;10.5970
1573142434161;47.3317;42.0322;10.6361
1573142434411;45.7726;43.5304;10.6970
1573142434661;44.1341;45.0556;10.8103
1573142434911;42.4299;46.6103;10.9598
1573142435161;40.6918;48.2009;11.1073
1573142435411;38.9529;49.8398;11.2072
1573142435661;37.2362;51.5359;11.2279
1573142435911;35.6849;53.1668;11.1483
1573142436161;34.1857;54.8290;10.9853
1573142436411;32.7111;56.4657;10.8232
1573142436661;31.2310;57.9959;10.7731
1573142436911;29.7212;59.3353;10.9435
1573142437161;28.1680;60.4203;11.4117
1573142437411;26.5876;61.2158;12.1967
1573142437661;24.9888;61.7365;13.2748
1573142437911;23.4070;62.0144;14.5786
1573142438161;21.8738;62.0930;16.0332
1573142438411;20.2952;61.9693;17.7355
1573142438661;18.7445;61.5951;19.6605
1573142438911;17.2057;60.9041;21.8902
1573142439161;15.6611;59.8089;24.5300
1573142439411;14.1080;58.2466;27.6454
1573142439661;12.5570;56.2189;31.2241
1573142439911;11.0469;53.8388;35.1143
1573142440161;9.78626;51.6339;38.5798
1573142440411;8.68115;49.6792;41.6396
1573142440661;7.76421;48.2427;43.9931
1573142440911;7.06985;47.5954;45.3347
1573142441161;6.63416;47.9876;45.3782
1573142441411;6.51087;49.6207;43.8684
1573142441661;6.77647;52.5228;40.7007
1573142441911;7.58044;56.5054;35.9141
1573142442161;8.86858;59.6549;31.4765
1573142442411;10.2928;59.7395;29.9677
1573142442661;10.0776;60.0755;29.8469
1573142442911;9.86493;60.4483;29.6868
1573142443161;9.65228;60.8325;29.5152
1573142443411;9.43775;61.2030;29.3592
1573142443661;9.24618;61.5006;29.2532
1573142443911;9.05132;61.7539;29.1948
1573142444161;8.85250;61.9458;29.2017
1573142444411;8.64975;62.0651;29.2851
1573142444661;8.44421;62.1109;29.4449
1573142444911;8.23815;62.0940;29.6679
1573142445161;7.94606;61.9891;30.0649
1573142445411;7.66225;61.8266;30.5112
1573142445661;7.39259;61.6602;30.9472
1573142445911;7.14089;61.5371;31.3221
1573142446161;6.90779;61.4845;31.6077
1573142446411;6.69050;61.5034;31.8061
1573142446661;6.40261;61.5527;32.0447
1573142446911;6.12515;61.5358;32.3391
1573142447161;5.85632;61.4277;32.7160
1573142447411;5.80587;61.4165;32.7777
1573142447661;5.75435;61.4442;32.8015
1573142447911;5.78293;61.4016;32.8155
1573142448161;5.81309;61.3270;32.8599
1573142448411;5.82386;61.2934;32.8827
1573142448661;5.73979;61.5668;32.6934
1573142448911;5.64778;61.8377;32.5146
1573142449161;5.76807;61.5250;32.7070
1573142449411;5.71664;61.6377;32.6456
1573142449661;5.66030;61.7331;32.6066
1573142449911;5.59993;61.8137;32.5864
1573142450161;5.53714;61.8894;32.5735
1573142450411;5.87876;61.3693;32.7519
1573142450661;6.24532;60.5395;33.2152
1573142450911;6.60499;59.3899;34.0051
1573142451161;6.84574;58.3969;34.7573
1573142451411;7.07325;57.3112;35.6156
1573142451661;6.67679;59.1240;34.1992
1573142451911;6.10050;61.0541;32.8454
1573142452161;5.51358;62.0010;32.4855
1573142452411;5.41429;61.9978;32.5879
1573142452661;5.31292;61.8619;32.8252
1573142452911;5.52736;62.3559;32.1168
1573142453161;5.74353;62.9779;31.2785
1573142453411;5.87542;63.4117;30.7128
1573142453661;5.76783;63.0131;31.2191
1573142453911;5.67264;62.6224;31.7049
1573142454161;5.59198;62.2762;32.1319
1573142454411;5.13289;59.9517;34.9154
1573142454661;4.81110;57.5658;37.6231
1573142454911;4.65171;55.2923;40.0560
1573142455161;4.68214;53.2846;42.0332
1573142455411;4.90117;51.8570;43.2419
1573142455661;5.32984;50.8772;43.7930
1573142455911;5.98277;50.3108;43.7064
1573142456161;7.16460;49.8515;42.9839
1573142456411;8.62104;49.3865;41.9924
1573142456661;9.19898;49.2923;41.5087
1573142456911;9.56664;49.3464;41.0870
1573142457161;9.94331;49.4942;40.5625
1573142457411;10.3207;49.6913;39.9880
1573142457661;10.6902;49.8896;39.4202
1573142457911;10.9824;50.0237;38.9939
1573142458161;10.6896;49.8988;39.4116
1573142458411;10.3958;49.7669;39.8373
1573142458661;9.91322;49.5522;40.5346
1573142458911;9.43521;49.3626;41.2022
1573142459161;9.30320;49.3404;41.3564
1573142459411;9.17852;49.3754;41.4461
1573142459661;9.06351;49.4817;41.4548
1573142459911;8.40700;50.5434;41.0496
1573142460161;7.84916;51.9017;40.2491
1573142460411;7.41403;53.6024;38.9836
1573142460661;7.05134;56.0775;36.8712
1573142460911;6.86848;58.8277;34.3039
1573142461161;6.86498;63.8177;29.3173
1573142461411;7.17590;67.0777;25.7464
1573142461661;7.61668;68.5593;23.8240
1573142461911;7.50059;68.2595;24.2399
1573142462161;7.34089;67.7720;24.8871
1573142462411;7.14535;67.1966;25.6580
1573142462661;6.72352;66.1198;27.1567
1573142462911;6.33561;65.3837;28.2807
1573142463161;5.94938;65.0308;29.0198
1573142463411;5.80307;65.0879;29.1090
1573142463661;5.65843;65.3495;28.9921
1573142463911;5.51366;65.7803;28.7061
1573142464161;5.71698;64.9996;29.2834
1573142464411;6.00284;63.7637;30.2335
1573142464661;6.31566;62.4004;31.2839
1573142464911;6.80005;60.4107;32.7892
1573142465161;7.33791;58.4140;34.2480
1573142465411;7.96146;56.3947;35.6438
1573142465661;8.64788;54.5186;36.8335
1573142465911;9.39878;52.8565;37.7448
1573142466161;10.4587;51.0407;38.5006
1573142466411;11.6050;49.6199;38.7751
1573142466661;12.8282;48.6599;38.5118
1573142466911;14.1089;48.1882;37.7029
1573142467161;14.5004;48.2007;37.2989
1573142467411;14.8922;48.3514;36.7564
1573142467661;15.2691;48.5904;36.1405
1573142467911;15.8132;49.0077;35.1791
1573142468161;14.3974;47.7785;37.8240
1573142468411;13.0671;46.5283;40.4046
1573142468661;11.8535;45.4760;42.6705
1573142468911;11.1603;45.0710;43.7687
1573142469161;10.5643;45.0476;44.3881
1573142469411;10.0410;45.4182;44.5408
1573142469661;9.10285;46.6881;44.2090
1573142469911;8.11528;48.2687;43.6160
1573142470161;7.07072;49.8575;43.0718
1573142470411;6.25905;50.9034;42.8376
1573142470661;6.18664;50.9913;42.8221
1573142470911;6.11334;51.0875;42.7991
1573142471161;6.03965;51.1937;42.7667
1573142471411;6.68527;50.0446;43.2701
1573142471661;7.35359;48.5091;44.1373
1573142471911;8.02599;46.6336;45.3404
1573142472161;8.40729;45.4321;46.1606
1573142472411;8.33401;45.6708;45.9952
1573142472661;8.26070;45.9037;45.8356
1573142472911;8.18764;46.1251;45.6873
1573142473161;8.03052;46.5650;45.4045
1573142473411;7.87495;46.9470;45.1780
1573142473661;7.72079;47.2521;45.0271
1573142473911;7.81557;47.1189;45.0656
1573142474161;8.13995;46.8611;44.9989
1573142474411;8.47208;46.8190;44.7089
1573142474661;8.27108;46.6827;45.0462
1573142474911;8.29635;46.7203;44.9833
1573142475161;8.32106;46.7735;44.9054
1573142475411;8.34412;46.8361;44.8198
1573142475661;8.74721;48.0850;43.1678
1573142475911;8.36154;46.6966;44.9418
1573142476161;8.06854;45.3525;46.5789
1573142476411;7.86523;44.0473;48.0875
1573142476661;7.77763;42.9197;49.3027
1573142476911;7.81154;42.0044;50.1840
1573142477161;7.97101;41.3137;50.7153
1573142477411;8.30536;40.7469;50.9477
1573142477661;8.78889;40.3655;50.8456
1573142477911;9.41036;40.1103;50.4794
1573142478161;10.5976;39.6783;49.7240
1573142478411;11.8789;39.0057;49.1153
1573142478661;13.1041;38.0691;48.8268
1573142478911;12.9619;38.1783;48.8598
1573142479161;12.8081;38.2604;48.9315
1573142479411;12.6456;38.3241;49.0303
1573142479661;12.4793;38.3843;49.1364
1573142479911;12.3294;38.4498;49.2208
1573142480161;12.1840;38.5361;49.2799
1573142480411;12.0441;38.6460;49.3098
1573142480661;12.0038;38.6854;49.3108
1573142480911;11.9645;38.7291;49.3063
1573142481161;11.9256;38.7739;49.3005
1573142481411;11.8341;38.8740;49.2920
1573142481661;11.5388;39.1539;49.3073
1573142481911;11.2379;39.3935;49.3687
1573142482161;10.9399;39.6074;49.4526
1573142482411;11.1703;39.4171;49.4125
1573142482661;11.3785;39.1849;49.4365
1573142482911;11.5643;38.9224;49.5133
1573142483161;11.9722;38.2352;49.7926
1573142483411;12.3311;37.5946;50.0743
1573142483661;12.6702;37.1008;50.2290
1573142483911;13.0182;36.8218;50.1600
1573142484161;12.3029;36.7399;50.9572
1573142484411;11.3480;36.0457;52.6064
1573142484661;10.0424;34.7480;55.2096
1573142484911;10.0916;34.7957;55.1127
1573142485161;10.1349;34.8235;55.0416
1573142485411;10.1700;34.8235;55.0065
1573142485661;10.4985;34.4516;55.0499
1573142485911;10.5202;34.3932;55.0865
1573142486161;10.5389;34.3257;55.1354
1573142486411;10.3764;34.8251;54.7986
1573142486661;10.1962;35.1697;54.6341
1573142486911;9.98844;35.3982;54.6134
1573142487161;9.77238;35.5526;54.6750
1573142487411;9.71050;35.6015;54.6880
1573142487661;9.85449;35.3816;54.7639
1573142487911;9.95301;35.0560;54.9910
