motif_frequency,power
2870.000000,1.998265
2391.000000,2.285894
2180.000000,2.458989
2148.000000,2.826741
2122.000000,3.041171
3346.000000,2.487300
2783.000000,2.380940
2559.000000,2.450820
2384.000000,2.539009
2148.000000,2.631931
3238.000000,2.360371
2788.000000,2.417343
2762.000000,2.427621
2559.000000,2.337534
2384.000000,2.276847
3014.000000,2.305519
2636.000000,2.124941
2559.000000,1.982847
3466.000000,1.927799
2645.000000,1.677302
2380.000000,1.553699
2149.000000,1.923370
2122.000000,2.352275
1955.000000,2.998936
3466.000000,1.264063
2559.000000,0.727161
2132.000000,0.571647
2098.000000,1.217692
1966.000000,2.427690
3592.000000,0.444173
2308.000000,-0.176072
2057.000000,-0.140265
1960.000000,1.203652
4288.000000,0.434380
1960.000000,-0.278348
1959.000000,0.443993
4670.000000,2.523838
1999.000000,1.985952
1999.000000,2.561591
1959.000000,3.354426
1960.000000,3.752620
1957.000000,3.882564
5356.000000,4.201520
3705.000000,5.616493
2098.000000,4.939400
1999.000000,5.058281
1999.000000,5.367855
1999.000000,6.710551
5188.000000,6.176715
3320.000000,7.989659
2215.000000,7.302405
1999.000000,7.025680
5167.000000,6.452191
3849.000000,8.111863
2473.000000,8.027651
2224.000000,7.741294
5229.000000,5.896095
4880.000000,6.594578
3127.000000,7.706485
2218.000000,7.806054
1999.000000,6.616908
1928.000000,5.042720
1966.000000,3.731035
5299.000000,5.176059
5060.000000,5.992332
2969.000000,8.561148
2107.000000,7.455425
1999.000000,5.858676
1960.000000,4.091488
5184.000000,5.215722
4576.000000,7.347394
2969.000000,8.795119
2104.000000,5.700428
1999.000000,3.760315
5222.000000,5.721576
4208.000000,8.495124
2848.000000,7.037898
2107.000000,3.466311
5162.000000,5.709419
4201.000000,6.675077
2719.000000,3.121624
1999.000000,1.442892
1960.000000,2.075765
1966.000000,2.908998
2037.000000,2.974088
4545.000000,3.722724
2116.000000,0.226595
1963.000000,0.290864
2047.000000,1.522600
2122.000000,2.627676
5168.000000,0.525867
2323.000000,-0.232759
2240.000000,0.899180
2184.000000,2.158028
4186.000000,0.337063
2872.000000,0.954053
2229.000000,1.802787
1920.000000,3.248374
2214.000000,2.754281
2193.000000,3.349337
2284.000000,4.469190
2259.000000,4.971249
2385.000000,4.792497
2507.000000,3.963418
2348.000000,3.247020
2293.000000,3.846913
2283.000000,4.565019
2292.000000,4.741077
2483.000000,4.235080
2296.000000,3.507169
2307.000000,4.159776
2286.000000,4.050080
2283.000000,4.224538
2381.000000,4.326031
2206.000000,3.309333
2392.000000,3.531660
2081.000000,3.556492
2287.000000,2.691707
2358.000000,2.393366
2207.000000,3.164683
2436.000000,3.090696
2681.000000,2.940645
3130.000000,3.159509
2429.000000,1.903202
2497.000000,1.106009
2378.000000,1.133806
2637.000000,2.379262
3004.000000,2.677074
2351.000000,0.678675
2538.000000,-0.044190
2494.000000,1.325138
2636.000000,2.718907
3328.000000,1.193831
3299.000000,0.742526
3329.000000,1.861024
3709.000000,3.293198
3990.000000,2.829197
3852.000000,3.217323
3357.000000,3.140779
3392.000000,3.757389
3212.000000,4.230112
3670.000000,3.549434
3927.000000,5.868925
4135.000000,5.363151
4076.000000,5.208129
3624.000000,5.357854
3624.000000,7.826041
3831.000000,5.625691
4063.000000,8.846540
4384.000000,8.268363
3546.000000,7.465167
3914.000000,6.082522
4122.000000,9.462995
4190.000000,10.287077
3720.000000,9.868387
4137.000000,6.736991
4678.000000,8.548480
3644.000000,10.298979
3665.000000,9.468287
3346.000000,6.625262
3520.000000,3.953316
3173.000000,2.786876
4364.000000,5.857593
4679.000000,8.714497
3858.000000,11.567441
3569.000000,7.735607
3610.000000,4.270030
3301.000000,2.512658
4211.000000,6.458740
4328.000000,10.274415
4571.000000,11.080375
3733.000000,5.264554
3564.000000,2.553167
4016.000000,6.392775
3976.000000,9.103517
4148.000000,7.137456
3871.000000,3.644060
3606.000000,4.683945
3446.000000,5.850852
3140.000000,2.999403
2799.000000,1.698219
3011.000000,1.950717
3048.000000,2.163257
2841.000000,3.372554
2723.000000,3.403954
2329.000000,1.365016
2668.000000,1.400374
2609.000000,2.519532
2332.000000,3.769613
2294.000000,1.992916
2399.000000,1.589906
2344.000000,2.713625
2319.000000,4.286955
2273.000000,1.987868
2235.000000,2.613023
2299.000000,4.069884
3068.000000,3.651230
3800.000000,-1.023981
3664.000000,-0.435805
3446.000000,-1.248459
2536.000000,-1.564310
2550.000000,-1.834413
2378.000000,-2.419249
3662.000000,3.861327
3580.000000,1.499096
3584.000000,-0.820449
3057.000000,-1.860162
2584.000000,-2.428534
3627.000000,6.137547
3567.000000,1.688323
3594.000000,2.057928
3540.000000,-0.931786
3413.000000,-2.226499
3715.000000,6.289170
3999.000000,2.118394
3916.000000,-1.054122
3938.000000,5.505035
3862.000000,-1.313094
3509.000000,-2.615028
2603.000000,-3.189174
2513.000000,-3.190557
2311.000000,-2.658557
3966.000000,-1.554317
3925.000000,-4.127203
2778.000000,-4.380993
2164.000000,-3.159091
2293.000000,-2.715157
4147.000000,-3.294302
3227.000000,-4.490554
2511.000000,-3.630470
