tempr.peak_time;tempr.peak_dat;tempr.rise_time;tempr.max_deriv;tempr.amplitude;tempr.max_deriv2
1573143656358;26.5292;14000;0.00286082;0.0222988;4.46216e-05
1573143658692;26.5293;2334;1.41450e-05;5.34058e-05;8.70986e-06
1573143658692;26.5293;0;1.41450e-05;0.00000;8.70986e-06
1573143678692;26.5489;20000;0.00248855;0.0195942;0.000213082
1573143695358;26.5307;16666;-7.36857e-05;-0.0181484;3.81369e-06
1573143703692;26.5272;8334;7.36596e-06;-0.00356293;0.000131700
1573143715358;26.5315;11666;0.000825144;0.00435066;0.000131700
1573143728025;26.5368;12667;0.000674573;0.00527191;3.48450e-05
1573143737025;26.5303;9000;7.80538e-05;-0.00647736;0.000229762
1573143743025;26.5331;6000;0.000667898;0.00276184;0.000229762
1573143745025;26.5330;2000;0.000592416;-6.29425e-05;0.000516843
1573143745692;26.5330;667;1.82556e-05;1.52588e-05;0.000835109
1573143757025;26.5769;11333;0.00764710;0.0438824;0.00111812
1573143761025;26.5754;4000;0.000257704;-0.00147247;0.000527616
1573143778358;26.6171;17333;0.00452733;0.0416260;0.000640772
1573143792358;26.6616;14000;0.00763391;0.0444813;0.00102210
1573143798358;26.6464;6000;5.54546e-05;-0.0151520;0.00104431
