HRV.time;HRV.x;HRV.y;HRV.z
1573142164436;28.2265;43.1102;28.6633
1573142164686;28.2380;43.1419;28.6200
1573142164936;28.1778;43.0644;28.7578
1573142165186;28.0923;43.0092;28.8985
1573142165436;27.9876;42.9818;29.0306
1573142165686;27.8718;42.9892;29.1390
1573142165936;26.9371;43.2173;29.8456
1573142166186;25.8197;43.5560;30.6243
1573142166436;24.6182;44.0373;31.3446
1573142166686;23.3510;44.7088;31.9401
1573142166936;22.1423;45.5428;32.3149
1573142167186;21.0347;46.5287;32.4366
1573142167436;20.0523;47.6493;32.2984
1573142167686;19.0959;49.0176;31.8865
1573142167936;18.2884;50.4641;31.2474
1573142168186;18.0901;51.0177;30.8923
1573142168436;17.9734;51.6882;30.3384
1573142168686;17.9265;52.4433;29.6302
1573142168936;17.9201;53.7021;28.3777
1573142169186;17.9315;54.8446;27.2239
1573142169436;17.9171;55.7401;26.3429
1573142169686;17.8418;56.2835;25.8748
1573142169936;17.7734;56.3725;25.8541
1573142170186;17.6798;56.3160;26.0042
1573142170436;17.5673;56.1496;26.2830
1573142170686;17.4462;55.9240;26.6298
1573142170936;17.4448;55.9213;26.6339
1573142171186;17.4437;55.9195;26.6368
1573142171436;17.4427;55.9187;26.6386
1573142171686;17.4420;55.9187;26.6393
1573142171936;17.4411;55.9192;26.6397
1573142172186;17.4400;55.9196;26.6404
1573142172436;17.4385;55.9197;26.6419
1573142172686;16.6514;55.4330;27.9156
1573142172936;15.5693;54.3046;30.1261
1573142173186;14.3773;52.9582;32.6646
1573142173436;13.2599;51.8723;34.8678
1573142173686;12.3383;51.3976;36.2642
1573142173936;11.6608;51.6940;36.6452
1573142174186;11.2227;52.7437;36.0336
1573142174436;10.9867;54.3800;34.6333
1573142174686;10.9789;54.6353;34.3858
1573142174936;10.9859;54.9363;34.0778
1573142175186;10.9990;55.2323;33.7687
1573142175436;11.0108;55.4798;33.5094
1573142175686;11.0142;55.5659;33.4199
1573142175936;11.0151;55.6166;33.3682
1573142176186;11.0155;55.6407;33.3438
1573142176436;11.0178;55.6522;33.3300
1573142176686;11.0175;55.6517;33.3308
1573142176936;11.0170;55.6508;33.3321
1573142177186;11.1118;55.8166;33.0715
1573142177436;11.2119;55.9230;32.8652
1573142177686;11.2963;55.8909;32.8129
1573142177936;11.3926;55.2975;33.3099
1573142178186;11.3725;54.0752;34.5522
1573142178436;11.3573;53.8475;34.7952
1573142178686;11.3369;53.6091;35.0540
1573142178936;11.3978;54.3252;34.2770
1573142179186;11.4250;54.7987;33.7764
1573142179436;11.4095;54.9793;33.6112
1573142179686;11.3567;54.8916;33.7517
1573142179936;11.4062;55.0512;33.5426
1573142180186;11.4477;55.1911;33.3612
1573142180436;11.4702;55.2486;33.2811
1573142180686;11.4696;55.1914;33.3390
1573142180936;11.4691;55.1865;33.3444
1573142181186;11.4684;55.1803;33.3514
1573142181436;11.4679;55.1741;33.3580
1573142181686;11.4680;55.1692;33.3629
1573142181936;11.4945;55.0228;33.4828
1573142182186;11.5565;54.8020;33.6415
1573142182436;11.6365;54.5086;33.8548
1573142182686;11.7259;54.0965;34.1776
1573142182936;11.8169;53.5326;34.6506
