HRV.time;HRV.x;HRV.y;HRV.z
1573142171824;9.86168;66.9313;23.2070
1573142172074;8.94125;67.3967;23.6621
1573142172324;8.10655;67.7293;24.1641
1573142172574;7.36260;67.9300;24.7074
1573142172824;6.71457;68.0056;25.2798
1573142173074;6.04907;67.8719;26.0790
1573142173324;5.51411;67.4139;27.0720
1573142173574;5.12320;66.5886;28.2882
1573142173824;4.89117;65.3477;29.7612
1573142174074;4.83493;63.6550;31.5100
1573142174324;4.95106;61.8539;33.1950
1573142174574;5.24679;59.8144;34.9388
1573142174824;5.74708;57.6096;36.6434
1573142175074;6.47820;55.3625;38.1593
1573142175324;7.48948;53.1539;39.3566
1573142175574;8.95917;50.8413;40.1995
1573142175824;10.8728;48.6068;40.5204
1573142176074;13.2800;46.4082;40.3118
1573142176324;16.0980;44.1981;39.7039
1573142176574;18.5505;42.3884;39.0611
1573142176824;21.1100;40.4184;38.4715
1573142177074;23.9681;37.7984;38.2336
1573142177324;24.5177;37.2095;38.2729
1573142177574;25.0307;36.6234;38.3459
1573142177824;25.3872;36.2034;38.4094
1573142178074;25.2959;36.3042;38.3999
1573142178324;25.2018;36.3919;38.4063
1573142178574;24.7543;36.7130;38.5327
1573142178824;24.5802;36.8047;38.6150
1573142179074;24.4038;36.8751;38.7210
1573142179324;23.9669;37.0160;39.0171
1573142179574;23.5455;37.1433;39.3112
1573142179824;23.1522;37.2785;39.5693
1573142180074;22.7205;37.4657;39.8137
1573142180324;22.3276;37.6809;39.9915
1573142180574;22.0156;37.8849;40.0995
1573142180824;21.7237;38.0922;40.1842
1573142181074;21.4420;38.2861;40.2720
1573142181324;NaN;NaN;NaN
1573142181574;NaN;NaN;NaN
1573142181824;NaN;NaN;NaN
1573142182074;NaN;NaN;NaN
1573142182324;NaN;NaN;NaN
1573142182574;NaN;NaN;NaN
1573142182824;NaN;NaN;NaN
1573142183074;NaN;NaN;NaN
1573142183324;NaN;NaN;NaN
1573142183574;NaN;NaN;NaN
1573142183824;NaN;NaN;NaN
1573142184074;NaN;NaN;NaN
1573142184324;NaN;NaN;NaN
1573142184574;NaN;NaN;NaN
1573142184824;NaN;NaN;NaN
1573142185074;NaN;NaN;NaN
1573142185324;NaN;NaN;NaN
1573142185574;NaN;NaN;NaN
1573142185824;NaN;NaN;NaN
1573142186074;NaN;NaN;NaN
1573142186324;NaN;NaN;NaN
1573142186574;NaN;NaN;NaN
1573142186824;NaN;NaN;NaN
1573142187074;NaN;NaN;NaN
1573142187324;NaN;NaN;NaN
1573142187574;NaN;NaN;NaN
1573142187824;NaN;NaN;NaN
1573142188074;NaN;NaN;NaN
1573142188324;NaN;NaN;NaN
1573142188574;NaN;NaN;NaN
1573142188824;NaN;NaN;NaN
1573142189074;NaN;NaN;NaN
1573142189324;NaN;NaN;NaN
1573142189574;NaN;NaN;NaN
1573142189824;NaN;NaN;NaN
1573142190074;NaN;NaN;NaN
1573142190324;NaN;NaN;NaN
1573142190574;NaN;NaN;NaN
1573142190824;NaN;NaN;NaN
1573142191074;NaN;NaN;NaN
1573142191324;NaN;NaN;NaN
1573142191574;NaN;NaN;NaN
1573142191824;NaN;NaN;NaN
1573142192074;NaN;NaN;NaN
1573142192324;NaN;NaN;NaN
1573142192574;NaN;NaN;NaN
1573142192824;NaN;NaN;NaN
1573142193074;NaN;NaN;NaN
1573142193324;NaN;NaN;NaN
1573142193574;NaN;NaN;NaN
1573142193824;NaN;NaN;NaN
1573142194074;NaN;NaN;NaN
1573142194324;NaN;NaN;NaN
1573142194574;NaN;NaN;NaN
1573142194824;NaN;NaN;NaN
1573142195074;NaN;NaN;NaN
1573142195324;NaN;NaN;NaN
1573142195574;NaN;NaN;NaN
1573142195824;NaN;NaN;NaN
1573142196074;NaN;NaN;NaN
1573142196324;NaN;NaN;NaN
1573142196574;NaN;NaN;NaN
